"","country","country_group","age_pr","household_income","trust_president","satisfaction_economy"
"493","Albania","EU-candidate",62,200000,3,4
"494","Albania","EU-candidate",19,70000,3,3
"495","Albania","EU-candidate",45,30000,1,2
"496","Albania","EU-candidate",20,70000,2,2
"497","Albania","EU-candidate",48,80000,4,2
"498","Albania","EU-candidate",20,150000,4,3
"499","Albania","EU-candidate",80,125000,1,4
"500","Albania","EU-candidate",54,80000,3,3
"501","Albania","EU-candidate",81,25000,2,1
"502","Albania","EU-candidate",26,30000,1,2
"503","Albania","EU-candidate",72,35000,1,3
"504","Albania","EU-candidate",59,60000,2,4
"505","Albania","EU-candidate",59,30000,3,4
"506","Albania","EU-candidate",45,40000,4,2
"507","Albania","EU-candidate",65,27000,1,2
"508","Albania","EU-candidate",44,50000,4,2
"509","Albania","EU-candidate",42,75000,1,4
"510","Albania","EU-candidate",76,80000,2,3
"511","Albania","EU-candidate",55,80000,1,4
"512","Albania","EU-candidate",57,90000,1,4
"513","Albania","EU-candidate",64,32000,2,2
"514","Albania","EU-candidate",58,50000,4,3
"515","Albania","EU-candidate",25,100000,2,4
"516","Albania","EU-candidate",57,35000,2,3
"517","Albania","EU-candidate",33,47000,3,3
"518","Albania","EU-candidate",65,40000,2,3
"519","Albania","EU-candidate",19,70000,2,3
"520","Albania","EU-candidate",19,70000,1,2
"521","Albania","EU-candidate",20,NA,1,3
"522","Albania","EU-candidate",65,NA,1,3
"523","Albania","EU-candidate",18,NA,2,2
"524","Albania","EU-candidate",18,NA,2,1
"525","Albania","EU-candidate",51,NA,2,3
"526","Albania","EU-candidate",32,50000,4,3
"527","Albania","EU-candidate",53,50000,4,3
"528","Albania","EU-candidate",20,NA,4,3
"529","Albania","EU-candidate",60,50000,5,4
"530","Albania","EU-candidate",32,NA,4,5
"531","Albania","EU-candidate",24,NA,4,3
"532","Albania","EU-candidate",19,NA,1,4
"533","Albania","EU-candidate",29,NA,4,3
"534","Albania","EU-candidate",30,NA,5,3
"535","Albania","EU-candidate",63,NA,5,4
"536","Albania","EU-candidate",58,NA,4,4
"537","Albania","EU-candidate",25,NA,5,4
"538","Albania","EU-candidate",62,30000,4,4
"539","Albania","EU-candidate",40,1000000,4,4
"540","Albania","EU-candidate",18,85000,4,2
"541","Albania","EU-candidate",25,NA,1,3
"542","Albania","EU-candidate",29,NA,3,3
"543","Albania","EU-candidate",30,NA,1,4
"544","Albania","EU-candidate",19,500,3,3
"545","Albania","EU-candidate",50,700,3,2
"546","Albania","EU-candidate",29,NA,3,3
"547","Albania","EU-candidate",19,NA,3,3
"548","Albania","EU-candidate",67,300,NA,3
"549","Albania","EU-candidate",38,500,3,3
"550","Albania","EU-candidate",25,NA,1,2
"551","Albania","EU-candidate",55,NA,3,3
"552","Albania","EU-candidate",30,NA,3,2
"553","Albania","EU-candidate",60,900,3,3
"554","Albania","EU-candidate",53,NA,1,3
"555","Albania","EU-candidate",66,NA,NA,3
"556","Albania","EU-candidate",58,NA,3,3
"557","Albania","EU-candidate",45,NA,3,3
"558","Albania","EU-candidate",22,NA,3,3
"559","Albania","EU-candidate",29,NA,3,3
"560","Albania","EU-candidate",29,NA,3,3
"561","Albania","EU-candidate",30,NA,3,3
"562","Albania","EU-candidate",56,NA,3,2
"563","Albania","EU-candidate",49,NA,3,3
"564","Albania","EU-candidate",40,NA,3,3
"565","Albania","EU-candidate",50,NA,3,3
"566","Albania","EU-candidate",23,NA,3,3
"567","Albania","EU-candidate",57,NA,3,3
"568","Albania","EU-candidate",32,NA,3,3
"569","Albania","EU-candidate",33,NA,3,3
"570","Albania","EU-candidate",58,NA,3,3
"571","Albania","EU-candidate",30,NA,4,3
"572","Albania","EU-candidate",49,NA,3,3
"573","Albania","EU-candidate",55,NA,3,3
"574","Albania","EU-candidate",52,NA,3,3
"575","Albania","EU-candidate",62,NA,4,3
"576","Albania","EU-candidate",56,NA,3,2
"577","Albania","EU-candidate",69,NA,3,3
"578","Albania","EU-candidate",58,NA,3,3
"579","Albania","EU-candidate",58,NA,3,3
"580","Albania","EU-candidate",47,NA,3,3
"581","Albania","EU-candidate",51,95000,4,4
"582","Albania","EU-candidate",43,94000,4,3
"583","Albania","EU-candidate",36,78000,4,2
"584","Albania","EU-candidate",20,83000,3,3
"585","Albania","EU-candidate",60,89000,4,3
"586","Albania","EU-candidate",25,54000,4,4
"587","Albania","EU-candidate",53,65000,4,3
"588","Albania","EU-candidate",26,69000,4,3
"589","Albania","EU-candidate",30,63000,4,3
"590","Albania","EU-candidate",82,52000,3,4
"591","Albania","EU-candidate",38,45000,4,NA
"592","Albania","EU-candidate",60,50000,NA,4
"593","Albania","EU-candidate",25,NA,4,4
"594","Albania","EU-candidate",40,20000,NA,3
"595","Albania","EU-candidate",42,54000,4,2
"596","Albania","EU-candidate",51,NA,4,3
"597","Albania","EU-candidate",49,150000,3,4
"598","Albania","EU-candidate",63,NA,4,3
"599","Albania","EU-candidate",59,NA,NA,4
"600","Albania","EU-candidate",45,50000,3,4
"601","Albania","EU-candidate",30,NA,3,3
"602","Albania","EU-candidate",72,NA,4,4
"603","Albania","EU-candidate",27,50000,2,2
"604","Albania","EU-candidate",50,85000,4,4
