"","date","approval","percentage"
"452",2010-06-01,"Don't approve",0.2
"453",2010-06-01,"No answer",0.02
"454",2010-05-01,"Approve",0.8
"455",2010-05-01,"Don't approve",0.19
"456",2010-05-01,"No answer",0.01
"457",2010-04-01,"Approve",0.78
"458",2010-04-01,"Don't approve",0.2
"459",2010-04-01,"No answer",0.02
"460",2010-03-01,"Approve",0.78
"461",2010-03-01,"Don't approve",0.2
"462",2010-03-01,"No answer",0.02
"463",2010-02-01,"Approve",0.8
"464",2010-02-01,"Don't approve",0.19
"465",2010-02-01,"No answer",0.01
"466",2010-01-01,"Approve",0.78
"467",2010-01-01,"Don't approve",0.21
"468",2010-01-01,"No answer",0.02
"469",2009-12-01,"Approve",0.83
"470",2009-12-01,"Don't approve",0.15
"471",2009-12-01,"No answer",0.02
"472",2009-11-01,"Approve",0.79
"473",2009-11-01,"Don't approve",0.19
"474",2009-11-01,"No answer",0.03
"475",2009-10-01,"Approve",0.78
"476",2009-10-01,"Don't approve",0.2
"477",2009-10-01,"No answer",0.02
"478",2009-09-01,"Approve",0.81
"479",2009-09-01,"Don't approve",0.18
"480",2009-09-01,"No answer",0.01
"481",2009-08-01,"Approve",0.82
"482",2009-08-01,"Don't approve",0.16
"483",2009-08-01,"No answer",0.02
"484",2009-07-01,"Approve",0.78
"485",2009-07-01,"Don't approve",0.19
"486",2009-07-01,"No answer",0.03
"487",2009-06-01,"Approve",0.79
"488",2009-06-01,"Don't approve",0.19
"489",2009-06-01,"No answer",0.02
"490",2009-05-01,"Approve",0.78
"491",2009-05-01,"Don't approve",0.18
"492",2009-05-01,"No answer",0.04
"493",2009-04-01,"Approve",0.76
"494",2009-04-01,"Don't approve",0.21
"495",2009-04-01,"No answer",0.03
"496",2009-03-01,"Approve",0.78
"497",2009-03-01,"Don't approve",0.2
"498",2009-03-01,"No answer",0.02
"499",2009-02-01,"Approve",0.78
"500",2009-02-01,"Don't approve",0.2
"501",2009-02-01,"No answer",0.02
"502",2009-01-01,"Approve",0.83
"503",2009-01-01,"Don't approve",0.14
"504",2009-01-01,"No answer",0.03
"505",2008-12-01,"Approve",0.83
"506",2008-12-01,"Don't approve",0.15
"507",2008-12-01,"No answer",0.02
"508",2008-11-01,"Approve",0.86
"509",2008-11-01,"Don't approve",0.12
"510",2008-11-01,"No answer",0.02
"511",2008-10-01,"Approve",0.83
"512",2008-10-01,"Don't approve",0.14
"513",2008-10-01,"No answer",0.04
"514",2008-09-01,"Approve",0.88
"515",2008-09-01,"Don't approve",0.1
"516",2008-09-01,"No answer",0.02
"517",2008-08-01,"Approve",0.83
"518",2008-08-01,"Don't approve",0.15
"519",2008-08-01,"No answer",0.02
"520",2008-07-01,"Approve",0.8
"521",2008-07-01,"Don't approve",0.17
"522",2008-07-01,"No answer",0.03
"523",2008-06-01,"Approve",0.83
"524",2008-06-01,"Don't approve",0.13
"525",2008-06-01,"No answer",0.05
"526",2008-05-01,"Approve",0.8
"527",2008-05-01,"Don't approve",0.15
"528",2008-05-01,"No answer",0.05
"529",2008-04-01,"Approve",0.86
"530",2008-04-01,"Don't approve",0.12
"531",2008-04-01,"No answer",0.01
"532",2008-03-01,"Approve",0.85
"533",2008-03-01,"Don't approve",0.13
"534",2008-03-01,"No answer",0.02
"535",2008-02-01,"Approve",0.85
"536",2008-02-01,"Don't approve",0.13
"537",2008-02-01,"No answer",0.02
"538",2008-01-01,"Approve",0.86
"539",2008-01-01,"Don't approve",0.13
"540",2008-01-01,"No answer",0.01
"541",2007-12-01,"Approve",0.87
"542",2007-12-01,"Don't approve",0.12
"543",2007-12-01,"No answer",0.01
"544",2007-11-01,"Approve",0.84
"545",2007-11-01,"Don't approve",0.15
"546",2007-11-01,"No answer",0.01
"547",2007-10-01,"Approve",0.82
"548",2007-10-01,"Don't approve",0.16
"549",2007-10-01,"No answer",0.02
"550",2007-09-01,"Approve",0.79
